conference,title,writer,year,citations,url,paper ID,snippet
Meeting of the Association for Computational Linguistics (ACL),Automatic_detection_of_local_reuse,"A Mittelbach, L Lehmann, C Rensing…",2010,16,https://link.springer.com/chapter/10.1007/978-3-642-16020-2_16,9815712681835366289,Local reuse detection is a prerequisite for a multitude of tasks ranging from document management and information retrieval to web search or plagiarism detection. Its results can be used to support authors in creating new learning resources or learners in finding existing …
Meeting of the Association for Computational Linguistics (ACL),Constructive_visual_analytics_for_text_similarity_detection,"A Abdul‐Rahman, G Roe, M Olsen…",2017,17,https://onlinelibrary.wiley.com/doi/abs/10.1111/cgf.12798,15854668253192647429,"Detecting similarity between texts is a frequently encountered text mining task. Because the measurement of similarity is typically composed of a number of metrics, and some measures are sensitive to subjective interpretation, a generic detector obtained using machine …"
Meeting of the Association for Computational Linguistics (ACL),Quantifying_the_effects_of_text_duplication_on_semantic_models,"A Schofield, L Thompson, D Mimno",2017,15,https://www.aclweb.org/anthology/D17-1290.pdf,13968644036551343579,"Duplicate documents are a pervasive problem in text datasets and can have a strong effect on unsupervised models. Methods to remove duplicate texts are typically heuristic or very expensive, so it is vital to know when and why they are needed. We measure the sensitivity …"
Meeting of the Association for Computational Linguistics (ACL),Alignment_of_noisy_unstructured_text_data,"J Bourdaillet, JG Ganascia",2007,13,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.72.4202&rep=rep1&type=pdf,3852752709650079340,"This paper describes a textual aligner named MEDITE whose specificity is the detection of moves. It was developed to solve a problem from textual genetic criticism, a humanities discipline that compares different versions of authors' texts in order to highlight invariants …"
Meeting of the Association for Computational Linguistics (ACL),University_of_sheffield:_Lab_report_for_PAN_at_CLEF_2010,"R Nawab, M Stevenson…",2010,13,http://eprints.whiterose.ac.uk/78590/,58029032576020353,"This paper describes the University of Sheffield entry for the 2nd international plagiarism detection competition (PAN 2010). Our system attempts to identify extrinsic plagiarism. A three-stage approach is used: pre-processing, candidate document selection (using word n …"
Meeting of the Association for Computational Linguistics (ACL),Measuring_short_text_reuse_for_the_Urdu_language,"S Sameen, M Sharjeel, RMA Nawab, P Rayson…",2017,14,https://ieeexplore.ieee.org/abstract/document/8118088/,3090989897661445884,"Text reuse occurs when one borrows the text (either verbatim or paraphrased) from an earlier written text. A large and increasing amount of digital text is easily and readily available, making it simpler to reuse but difficult to detect. As a result, automatic detection of …"
Meeting of the Association for Computational Linguistics (ACL),PAN@_FIRE:_Overview_of_the_cross-language!_ndian_news_story_search_(CL!_NSS)_track,"P Gupta, P Clough, P Rosso, M Stevenson…",2013,11,https://dl.acm.org/doi/abs/10.1145/2701336.2701639,14483673008743870006,"The automatic alignment of documents in a quasi-comparable corpus is an important research problem for a resource poor cross-language technologies. News stories form one of the most prolific and abundant language resource. The [email protected] task, cross …"
Meeting of the Association for Computational Linguistics (ACL),Recycling_texts:_human_evaluation_of_example-based_machine_translation_subtitles_for_DVD,M Flanagan - 2009 - doras.dcu.ie,2009,12,http://doras.dcu.ie/14842/,7304651445526687907,"This project focuses on translation reusability in audiovisual contexts. Specifically, the project seeks to establish (1) whether target language subtitles produced by an EBMT system are considered intelligible and acceptable by viewers of movies on DVD, and (2) …"
Meeting of the Association for Computational Linguistics (ACL),Intertextuality_and_Influence_in_the_Age_of_Enlightenment:_Sequence_Alignment_Applications_for_Humanities_Research.,"GH Roe, The ARTFL Project",2012,11,http://www.dh2012.uni-hamburg.de/conference/programme/abstracts/intertextuality-and-influence-in-the-age-of-enlightenment-sequence-alignment-applications-for-humanities-research.1.html,16222933135142798847,"Background While technology is a relatively new entrant to the domain of textual studies, it nonetheless offers scholars important tools for tracing the currents of literary text reuse. Indeed, this form of 'intertextuality'can be considered a specific case of the more general …"
Meeting of the Association for Computational Linguistics (ACL),Paraphrase_identification,"S Fernando, M Stevenson",2007,9,,13076906052024451579,"While Wikipedia exists in 287 languages, its content is unevenly distributed among them. It is therefore of utmost social and cultural importance to focus efforts on languages whose speakers only have access to limited Wikipedia content. We investigate supporting …"
Meeting of the Association for Computational Linguistics (ACL),Mind_the_(language)_gap:_Generation_of_multilingual_wikipedia_summaries_from_wikidata_for_articleplaceholders,"LA Kaffee, H Elsahar, P Vougiouklis, C Gravier…",2018,13,https://link.springer.com/chapter/10.1007/978-3-319-93417-4_21,1925694470956104527,"In this paper, we proposed a method to find out similar sentences from documents to detect plagiarized documents. The proposed model adapts LSA and N-gram techniques to detect every type of Korean plagiarized sentence type. To evaluate the performance of the model …"
Meeting of the Association for Computational Linguistics (ACL),A_Detection_Method_of_Similar_Sentences_Considering_Plagiarism_Patterns_of_Korean_Sentence,"HS Ji, JH Joh, HS Lim",2010,9,https://www.koreascience.or.kr/article/JAKO201027140592465.page,6571381466497295912,"We present a comprehensive study of computing similarity between texts. We start from the observation that while the concept of similarity is well grounded in psychology, text similarity is much less well-defined in the natural language processing community. We thus define the …"
